read,green,blue
0.0,0.0,0.0
0.03660392156862745,0.0,0.04182745098039216
0.0732078431372549,0.0,0.08365490196078432
0.10981176470588236,0.0,0.12548235294117646
0.1464156862745098,0.0,0.16730980392156863
0.18301960784313726,0.0,0.20913725490196078
0.21962352941176472,0.0,0.2509647058823529
0.2562274509803922,0.0,0.2927921568627451
0.2928313725490196,0.0,0.33461960784313727
0.3294352941176471,0.0,0.3764470588235294
0.3660392156862745,0.0,0.41827450980392156
0.402643137254902,0.0,0.46010196078431376
0.43924705882352943,0.0,0.5019294117647058
0.46800588235294116,0.0,0.5346078431372548
0.4732294117647059,0.0,0.5398392156862745
0.4784529411764706,0.0,0.5450705882352941
0.4836764705882353,0.0,0.5503019607843137
0.4889,0.0,0.5555333333333333
0.4941235294117647,0.0,0.5607647058823529
0.4993470588235294,0.0,0.5659960784313726
0.5045705882352941,0.0,0.5712274509803922
0.5097941176470588,0.0,0.5764588235294118
0.5150176470588235,0.0,0.5816901960784313
0.5202411764705882,0.0,0.5869215686274509
0.525464705882353,0.0,0.5921529411764705
0.5306882352941177,0.0,0.5973843137254902
0.5123862745098039,0.0,0.6026156862745098
0.47055882352941175,0.0,0.6078470588235294
0.4287313725490196,0.0,0.613078431372549
0.3869039215686274,0.0,0.6183098039215686
0.3450764705882353,0.0,0.6235411764705882
0.3032490196078431,0.0,0.6287725490196078
0.261421568627451,0.0,0.6340039215686274
0.2195941176470591,0.0,0.639235294117647
0.17776666666666668,0.0,0.6444666666666666
0.13593921568627448,0.0,0.6496980392156863
0.0941117647058824,0.0,0.6549294117647059
0.05228431372549047,0.0,0.6601607843137254
0.01045686274509805,0.0,0.665392156862745
0.0,0.0,0.6784647058823529
0.0,0.0,0.6941509803921568
0.0,0.0,0.7098372549019607
0.0,0.0,0.7255235294117647
0.0,0.0,0.7412098039215687
0.0,0.0,0.7568960784313725
0.0,0.0,0.7725823529411764
0.0,0.0,0.7882686274509804
0.0,0.0,0.8039549019607843
0.0,0.0,0.8196411764705882
0.0,0.0,0.8353274509803921
0.0,0.0,0.851013725490196
0.0,0.0,0.8667
0.0,0.03660392156862745,0.8667
0.0,0.07320784313725465,0.8667
0.0,0.10981176470588236,0.8667
0.0,0.1464156862745098,0.8667
0.0,0.18301960784313726,0.8667
0.0,0.21962352941176444,0.8667
0.0,0.2562274509803922,0.8667
